Fauna,Credit,Twitter,Page,Direction,Family
Torvosaurus tanneri,(uncredited),,http://phylopic.org/image/5f1e1adf-372c-4289-bfc5-147245c41170/,L,Theropod
Aquilops,Andrew A. Farke,andyfarke,http://phylopic.org/image/fd22540d-29a4-4b95-8a7e-ec9ab81f031d/,L,Ceratopsian
Euoplocephalus,Andrew A. Farke,andyfarke,http://phylopic.org/image/5b062105-b6a2-4405-bd75-3d0399102b9a/,L,Ankylosaurian
Gopherus,Andrew A. Farke,andyfarke,http://phylopic.org/image/fb405890-27fb-4dbc-b1e5-e7f38a185404/,L,Reptile
Stegosaurus ungulatus,Andrew A. Farke,andyfarke,http://phylopic.org/image/173f44e3-2db7-4c98-b41f-6ab58093a145/,L,Stegosaurian
Yinlong,Andrew A. Farke,andyfarke,http://phylopic.org/image/580db433-c610-40df-b7d8-a3434ad158ed/,L,Ceratopsian
Dahalokely,Andrew Farke and Joseph Sertich,andyfarke,http://phylopic.org/image/1730665f-ffb8-4026-b9a6-e36ba92bbc24/,L,Theropod
Olorotitan,Anonymous (vectorized by T. Michael Keesey),,http://phylopic.org/image/9161bbeb-fa38-48f6-bb20-c68c255dd9b6/,L,Lambeosaurine
Bissektipelta,Brad McFeeters,,http://phylopic.org/image/bf68e21e-fa8d-4f26-be72-03c52ce4d047/,L,Ankylosaurian
Cryolophosaurus,Brad McFeeters,,http://phylopic.org/image/6655838b-ba6a-4889-92f4-879444d1b931/,L,Theropod
Huaxiagnathus,Brad McFeeters,,http://phylopic.org/image/8c13fc28-3e54-4ea2-851c-1112e2bbf1fe/,L,Theropod
Luoyanggia,Brad McFeeters,,http://phylopic.org/image/f8df3f09-64ed-4982-8b96-ffc4996c22d1/,L,Oviraptorid 
Pampadromaeus,Bruno Navarro,,http://phylopic.org/image/c8fa6626-4d1c-464e-9168-823bf6436358/,R,Sauropod
Staurikosaurus,Bruno Navarro,,http://phylopic.org/image/5b7e6fe2-3c73-4b1f-ac7b-e05655116b47/,R,Herrerasauridae
Stratiotosuchus,"Caio Bernardes, vectorized by Zimices",,http://phylopic.org/image/3e436cff-6601-4629-a99e-ba0adeec3472/,L,Baurusuchid 
Albertadromeus,Caleb M. Brown,brown_caleb_m,http://phylopic.org/image/b48a256b-cb24-4a48-8aa4-bd7f87ccf5db/,L,Parksosauridae
Sciurumimus,Caleb M. Brown,brown_caleb_m,http://phylopic.org/image/76be7ad0-6426-4ffa-92a3-07b1acbf4709/,L,Parksosauridae
Stegoceras,Caleb M. Brown,brown_caleb_m,http://phylopic.org/image/4d160c01-0026-4176-9471-4e79771c8c91/,L,Pachycephalosaurid
Thescelosaurus,Caleb M. Brown,brown_caleb_m,http://phylopic.org/image/b7879e57-baca-4cd2-83c5-e85e8971a85f/,L,Parksosauridae
Scutosaurus,Chris Jennings,,http://phylopic.org/image/c5a448bf-0119-4735-8366-c237d855a1a0/,L,Parareptile
Dinogorgon,Chris Jennings (Risiatto),,http://phylopic.org/image/ddbd5048-3148-4088-9ab1-97becdcb7ae3/,L,Gorgonopsidae
Eodromaeus,Conty,,http://phylopic.org/image/540e9a55-77c9-4754-ad84-3ec003c6ace8/,L,Theropod
Ambulocetus,Conty (vectorized by T. Michael Keesey),,http://phylopic.org/image/efa0966c-65ca-433e-9e95-e4e18c15c790/,L,Cetacean 
Albertosaurus,Craig Dylke,,http://phylopic.org/image/d7da9be9-fad6-4683-bf5e-bf7c951ee92c/,R,Tyrannosaurid 
Struthiomimus,Craig Dylke,,http://phylopic.org/image/72d740f3-17f2-460f-b04b-fa9bb6b3e00f/,R,Ornithomimid 
Styracosaurus,Craig Dylke,,http://phylopic.org/image/b5131da6-f158-46bd-812d-5cda4a0a2254/,R,Ceratopsian
Mauisaurus,Craig Dylke,,http://phylopic.org/image/7cbd4cf9-8869-46a7-93c7-71702b434309/,L,Plesiosaur
Corythosaurus,Craig Dylke,,http://phylopic.org/image/9f34bd6e-160b-4efc-91fd-d269441dd544/,R,Hadrosaur
Kakuru,Dann Pigdon,,http://phylopic.org/image/f170274b-c887-4aea-a30c-73238ede3e4c/,L,Theropod
Gobivenator,Danny Cicchetti (vectorized by T. Michael Keesey),,http://phylopic.org/image/fe24c8b2-a979-407e-a5fb-ba3a785e57f7/,L,Troodontid
Grippia,Dmitry Bogdanov,,http://phylopic.org/image/ab7194d3-1d74-4029-a6b1-81663a25dc13/,L,Ichthyosaur
Polonosuchus,Dmitry Bogdanov,,http://phylopic.org/image/e551c7e1-64e0-4ed0-ab36-d539ba988ac4/,L,Loricata
Scylacosaurus,Dmitry Bogdanov,,http://phylopic.org/image/6ecdac12-8832-401b-b6e2-8474dbc41b6a/,L,Therapsid
Suchodus,Dmitry Bogdanov,,http://phylopic.org/image/1677c9e0-e484-4db5-9693-dae9475bb270/,L,Crocodyliform
Balaur,Emily Willoughby,eawilloughby,http://phylopic.org/image/e1cf00c8-81b8-41c8-8fd1-c5f215c5bb53/,L,Theropod
Changyuraptor,Emily Willoughby,eawilloughby,http://phylopic.org/image/be5d1a4b-c6e8-4dbc-a8d6-0680abf886af/,L,Microraptoria
Citipati,Emily Willoughby,eawilloughby,http://phylopic.org/image/b82711c1-4c4c-4fdd-b9ff-2bcd48aa4cd1/,L,Oviraptorid 
Coelophysis,Emily Willoughby,eawilloughby,http://phylopic.org/image/85008e98-2194-4844-bff9-4c5513ddd117/,L,
Pachycephalosaurus,Emily Willoughby,eawilloughby,http://phylopic.org/image/6105ff49-0bd0-477c-8bef-41b0c39fdca9/,L,
Sauropelta,Emily Willoughby,eawilloughby,http://phylopic.org/image/9dc23409-1e36-402d-8be5-6b939f7fb664/,L,
